"Var1";"Var2";"Var3";"Var4";"mean_cve";"mean_mse"
"SOCIALES_CIUDADANAS_PUNT";"FINS_ESTRATOVIVIENDAENERGIA";"CALENDARIO";"FINS_PERSONASHOGARACTUAL";"2.49456913484134";"1.47790848053384"
"SOCIALES_CIUDADANAS_PUNT";"FINS_ESTRATOVIVIENDAENERGIA";"CALENDARIO";"FINS_CUARTOSHOGARACTUAL";"2.49359354497437";"1.47749249925217"
"SOCIALES_CIUDADANAS_PUNT";"FINS_ESTRATOVIVIENDAENERGIA";"CALENDARIO";"FINS_PISOSHOGAR";"2.47708752174864";"1.4464835769771"
"SOCIALES_CIUDADANAS_PUNT";"FINS_ESTRATOVIVIENDAENERGIA";"CALENDARIO";"FINS_TIENEINTERNET";"2.46505301187237";"1.42475685661447"
"SOCIALES_CIUDADANAS_PUNT";"FINS_ESTRATOVIVIENDAENERGIA";"CALENDARIO";"FINS_TIENECOMPUTADOR";"2.46137389267086";"1.42969723150184"
"SOCIALES_CIUDADANAS_PUNT";"FINS_ESTRATOVIVIENDAENERGIA";"CALENDARIO";"FINS_TIENEAUTOMOVILPARTICULAR";"2.39767567798331";"1.36374266989484"
"SOCIALES_CIUDADANAS_PUNT";"FINS_ESTRATOVIVIENDAENERGIA";"CALENDARIO";"INGLES_DESEM";"2.11307759866964";"1.05178259894624"
"SOCIALES_CIUDADANAS_PUNT";"FINS_ESTRATOVIVIENDAENERGIA";"CALENDARIO";"PERS_GENERO";"2.53486296814254";"1.5301122517646"
"SOCIALES_CIUDADANAS_PUNT";"FINS_ESTRATOVIVIENDAENERGIA";"NATURALEZA";"FINS_PERSONASHOGARACTUAL";"2.59082544883785";"1.54035861095426"
"SOCIALES_CIUDADANAS_PUNT";"FINS_ESTRATOVIVIENDAENERGIA";"NATURALEZA";"FINS_CUARTOSHOGARACTUAL";"2.58299880591614";"1.53396343098985"
"SOCIALES_CIUDADANAS_PUNT";"FINS_ESTRATOVIVIENDAENERGIA";"NATURALEZA";"FINS_PISOSHOGAR";"2.53172489389429";"1.4598202635958"
"SOCIALES_CIUDADANAS_PUNT";"FINS_ESTRATOVIVIENDAENERGIA";"NATURALEZA";"FINS_TIENEINTERNET";"2.52115856459511";"1.44078403010681"
"SOCIALES_CIUDADANAS_PUNT";"FINS_ESTRATOVIVIENDAENERGIA";"NATURALEZA";"FINS_TIENECOMPUTADOR";"2.52742813875357";"1.45902770500249"
"SOCIALES_CIUDADANAS_PUNT";"FINS_ESTRATOVIVIENDAENERGIA";"NATURALEZA";"FINS_TIENEAUTOMOVILPARTICULAR";"2.47229605977659";"1.39977093038512"
"SOCIALES_CIUDADANAS_PUNT";"FINS_ESTRATOVIVIENDAENERGIA";"NATURALEZA";"INGLES_DESEM";"2.15352729295044";"1.04684312055863"
"SOCIALES_CIUDADANAS_PUNT";"FINS_ESTRATOVIVIENDAENERGIA";"NATURALEZA";"PERS_GENERO";"2.61657428140928";"1.57487045126932"
"SOCIALES_CIUDADANAS_PUNT";"FINS_ESTRATOVIVIENDAENERGIA";"JORNADA";"FINS_PERSONASHOGARACTUAL";"2.52777120620714";"1.54542808500692"
"SOCIALES_CIUDADANAS_PUNT";"FINS_ESTRATOVIVIENDAENERGIA";"JORNADA";"FINS_CUARTOSHOGARACTUAL";"2.5505265613885";"1.57482392875821"
"SOCIALES_CIUDADANAS_PUNT";"FINS_ESTRATOVIVIENDAENERGIA";"JORNADA";"FINS_PISOSHOGAR";"2.5164790224756";"1.5215746141891"
"SOCIALES_CIUDADANAS_PUNT";"FINS_ESTRATOVIVIENDAENERGIA";"JORNADA";"FINS_TIENEINTERNET";"2.5040407514899";"1.50426392183244"
"SOCIALES_CIUDADANAS_PUNT";"FINS_ESTRATOVIVIENDAENERGIA";"JORNADA";"FINS_TIENECOMPUTADOR";"2.50190124580346";"1.50919984542191"
"SOCIALES_CIUDADANAS_PUNT";"FINS_ESTRATOVIVIENDAENERGIA";"JORNADA";"FINS_TIENEAUTOMOVILPARTICULAR";"2.47881873377781";"1.48489788079821"
"SOCIALES_CIUDADANAS_PUNT";"FINS_ESTRATOVIVIENDAENERGIA";"JORNADA";"INGLES_DESEM";"2.15562334644305";"1.11008350996804"
"SOCIALES_CIUDADANAS_PUNT";"FINS_ESTRATOVIVIENDAENERGIA";"JORNADA";"PERS_GENERO";"2.62376059101624";"1.66951914206886"
"SOCIALES_CIUDADANAS_PUNT";"FINS_ESTRATOVIVIENDAENERGIA";"EVALUADOS";"FINS_PERSONASHOGARACTUAL";"2.55618207393484";"1.54379849030412"
"SOCIALES_CIUDADANAS_PUNT";"FINS_ESTRATOVIVIENDAENERGIA";"EVALUADOS";"FINS_CUARTOSHOGARACTUAL";"2.55262118402413";"1.540186140597"
"SOCIALES_CIUDADANAS_PUNT";"FINS_ESTRATOVIVIENDAENERGIA";"EVALUADOS";"FINS_PISOSHOGAR";"2.56362490919311";"1.54133531920313"
"SOCIALES_CIUDADANAS_PUNT";"FINS_ESTRATOVIVIENDAENERGIA";"EVALUADOS";"FINS_TIENEINTERNET";"2.56077497118454";"1.53117795885083"
"SOCIALES_CIUDADANAS_PUNT";"FINS_ESTRATOVIVIENDAENERGIA";"EVALUADOS";"FINS_TIENECOMPUTADOR";"2.54416840685918";"1.52072264473673"
"SOCIALES_CIUDADANAS_PUNT";"FINS_ESTRATOVIVIENDAENERGIA";"EVALUADOS";"FINS_TIENEAUTOMOVILPARTICULAR";"2.45590254922797";"1.42284708254902"
"SOCIALES_CIUDADANAS_PUNT";"FINS_ESTRATOVIVIENDAENERGIA";"EVALUADOS";"INGLES_DESEM";"2.14332225487894";"1.07546509429736"
"SOCIALES_CIUDADANAS_PUNT";"FINS_ESTRATOVIVIENDAENERGIA";"EVALUADOS";"PERS_GENERO";"2.58752708154458";"1.58473616798199"
"CIENCIAS_NATURALES_PUNT";"FINS_ESTRATOVIVIENDAENERGIA";"CALENDARIO";"FINS_PERSONASHOGARACTUAL";"1.19431206094047";"0.33898715093814"
"CIENCIAS_NATURALES_PUNT";"FINS_ESTRATOVIVIENDAENERGIA";"CALENDARIO";"FINS_CUARTOSHOGARACTUAL";"1.19579428571644";"0.339947852363081"
"CIENCIAS_NATURALES_PUNT";"FINS_ESTRATOVIVIENDAENERGIA";"CALENDARIO";"FINS_PISOSHOGAR";"1.19316579752967";"0.338116532326899"
"CIENCIAS_NATURALES_PUNT";"FINS_ESTRATOVIVIENDAENERGIA";"CALENDARIO";"FINS_TIENEINTERNET";"1.24054601677129";"0.362624189179155"
"CIENCIAS_NATURALES_PUNT";"FINS_ESTRATOVIVIENDAENERGIA";"CALENDARIO";"FINS_TIENECOMPUTADOR";"1.21960444496535";"0.351834655128199"
"CIENCIAS_NATURALES_PUNT";"FINS_ESTRATOVIVIENDAENERGIA";"CALENDARIO";"FINS_TIENEAUTOMOVILPARTICULAR";"1.1462177776324";"0.312094312110908"
"CIENCIAS_NATURALES_PUNT";"FINS_ESTRATOVIVIENDAENERGIA";"CALENDARIO";"INGLES_DESEM";"1.13551272375906";"0.304911201742479"
"CIENCIAS_NATURALES_PUNT";"FINS_ESTRATOVIVIENDAENERGIA";"CALENDARIO";"PERS_GENERO";"1.21492703521865";"0.351271481350001"
"CIENCIAS_NATURALES_PUNT";"FINS_ESTRATOVIVIENDAENERGIA";"NATURALEZA";"FINS_PERSONASHOGARACTUAL";"1.25199175975626";"0.363656492317988"
"CIENCIAS_NATURALES_PUNT";"FINS_ESTRATOVIVIENDAENERGIA";"NATURALEZA";"FINS_CUARTOSHOGARACTUAL";"1.24824468262828";"0.36191710885394"
"CIENCIAS_NATURALES_PUNT";"FINS_ESTRATOVIVIENDAENERGIA";"NATURALEZA";"FINS_PISOSHOGAR";"1.23847434626433";"0.355520118221088"
"CIENCIAS_NATURALES_PUNT";"FINS_ESTRATOVIVIENDAENERGIA";"NATURALEZA";"FINS_TIENEINTERNET";"1.2883659359572";"0.381854763848587"
"CIENCIAS_NATURALES_PUNT";"FINS_ESTRATOVIVIENDAENERGIA";"NATURALEZA";"FINS_TIENECOMPUTADOR";"1.270124479157";"0.37284991324315"
"CIENCIAS_NATURALES_PUNT";"FINS_ESTRATOVIVIENDAENERGIA";"NATURALEZA";"FINS_TIENEAUTOMOVILPARTICULAR";"1.19843375181241";"0.33287987424913"
"CIENCIAS_NATURALES_PUNT";"FINS_ESTRATOVIVIENDAENERGIA";"NATURALEZA";"INGLES_DESEM";"1.15665335321185";"0.306555779128564"
"CIENCIAS_NATURALES_PUNT";"FINS_ESTRATOVIVIENDAENERGIA";"NATURALEZA";"PERS_GENERO";"1.26332917311031";"0.370874290195179"
"CIENCIAS_NATURALES_PUNT";"FINS_ESTRATOVIVIENDAENERGIA";"JORNADA";"FINS_PERSONASHOGARACTUAL";"1.3876515178087";"0.463752293678081"
"CIENCIAS_NATURALES_PUNT";"FINS_ESTRATOVIVIENDAENERGIA";"JORNADA";"FINS_CUARTOSHOGARACTUAL";"1.40633692495688";"0.476654802977945"
"CIENCIAS_NATURALES_PUNT";"FINS_ESTRATOVIVIENDAENERGIA";"JORNADA";"FINS_PISOSHOGAR";"1.38347822999514";"0.460446899144188"
"CIENCIAS_NATURALES_PUNT";"FINS_ESTRATOVIVIENDAENERGIA";"JORNADA";"FINS_TIENEINTERNET";"1.4085182048228";"0.475351682698552"
"CIENCIAS_NATURALES_PUNT";"FINS_ESTRATOVIVIENDAENERGIA";"JORNADA";"FINS_TIENECOMPUTADOR";"1.39781523833847";"0.469505241984173"
"CIENCIAS_NATURALES_PUNT";"FINS_ESTRATOVIVIENDAENERGIA";"JORNADA";"FINS_TIENEAUTOMOVILPARTICULAR";"1.38170588818797";"0.459643605676"
"CIENCIAS_NATURALES_PUNT";"FINS_ESTRATOVIVIENDAENERGIA";"JORNADA";"INGLES_DESEM";"1.29117115066432";"0.398327563210944"
"CIENCIAS_NATURALES_PUNT";"FINS_ESTRATOVIVIENDAENERGIA";"JORNADA";"PERS_GENERO";"1.44933083087226";"0.506657353819723"
"CIENCIAS_NATURALES_PUNT";"FINS_ESTRATOVIVIENDAENERGIA";"EVALUADOS";"FINS_PERSONASHOGARACTUAL";"1.31167150941677";"0.40663558242902"
"CIENCIAS_NATURALES_PUNT";"FINS_ESTRATOVIVIENDAENERGIA";"EVALUADOS";"FINS_CUARTOSHOGARACTUAL";"1.30998682297408";"0.405709609176528"
"CIENCIAS_NATURALES_PUNT";"FINS_ESTRATOVIVIENDAENERGIA";"EVALUADOS";"FINS_PISOSHOGAR";"1.32048320060612";"0.411627716979426"
"CIENCIAS_NATURALES_PUNT";"FINS_ESTRATOVIVIENDAENERGIA";"EVALUADOS";"FINS_TIENEINTERNET";"1.37893761431941";"0.446108816150812"
"CIENCIAS_NATURALES_PUNT";"FINS_ESTRATOVIVIENDAENERGIA";"EVALUADOS";"FINS_TIENECOMPUTADOR";"1.34720434818981";"0.427302173567713"
"CIENCIAS_NATURALES_PUNT";"FINS_ESTRATOVIVIENDAENERGIA";"EVALUADOS";"FINS_TIENEAUTOMOVILPARTICULAR";"1.26017750783068";"0.374991755470448"
"CIENCIAS_NATURALES_PUNT";"FINS_ESTRATOVIVIENDAENERGIA";"EVALUADOS";"INGLES_DESEM";"1.18875597514146";"0.331914159286063"
"CIENCIAS_NATURALES_PUNT";"FINS_ESTRATOVIVIENDAENERGIA";"EVALUADOS";"PERS_GENERO";"1.32502704747804";"0.415353251389282"
"INGLES_PUNT";"FINS_ESTRATOVIVIENDAENERGIA";"CALENDARIO";"FINS_PERSONASHOGARACTUAL";"2.81936795564721";"1.90691983290407"
"INGLES_PUNT";"FINS_ESTRATOVIVIENDAENERGIA";"CALENDARIO";"FINS_CUARTOSHOGARACTUAL";"2.82860680958755";"1.92021954399513"
"INGLES_PUNT";"FINS_ESTRATOVIVIENDAENERGIA";"CALENDARIO";"FINS_PISOSHOGAR";"2.83449044059114";"1.91847560838897"
"INGLES_PUNT";"FINS_ESTRATOVIVIENDAENERGIA";"CALENDARIO";"FINS_TIENEINTERNET";"2.82858298978016";"1.89626049934625"
